timestamp,trade,fill_price,reservation_price,inventory,cash_position,portfolio_value
2025-04-17 14:53:00,BUY,370.3,370.29,-1,-3.18,-373.47
2025-04-17 14:55:30,BUY,369.98,369.96,0,-373.16,-373.16
2025-04-17 15:01:00,BUY,369.38,369.38,1,-742.54,-373.165
2025-04-17 15:04:30,BUY,369.3,369.28,2,-1111.84,-373.27
2025-04-17 15:08:30,BUY,369.09,369.07,3,-1480.93,-373.72
2025-04-17 15:09:30,BUY,369.19,369.19,4,-1850.12,-373.36
2025-04-17 15:11:30,BUY,369.02,369.0,5,-2219.14,-374.115
2025-04-17 15:25:30,BUY,368.14,368.11,6,-2587.28,-378.44
2025-04-17 15:26:30,BUY,368.47,368.46,7,-2955.75,-376.495
2025-04-17 15:29:00,BUY,368.6,368.58,8,-3324.35,-375.67
2025-04-17 15:34:00,BUY,368.45,368.44,9,-3692.8,-376.66
2025-04-17 15:40:30,SELL,368.43,368.39,-1,-8.49,-376.915
