timestamp,inventory,cash_position,mid_price,portfolio_value,unrealized_pnl
2025-04-02 14:00:00,2,999089.88,381.53,999852.94,1.2
2025-04-02 14:15:00,3,998709.47,380.92,999852.215,1.515
2025-04-02 14:45:00,4,998329.03,381.13,999853.55,2.76
2025-04-02 15:00:00,5,997948.59,381.1,999854.065,3.275
2025-04-02 15:15:00,6,997567.61,381.69,999857.75,4.26
2025-04-03 09:30:00,7,997198.17,372.63,999806.615,22.365
2025-04-03 10:00:00,8,996825.95,373.53,999814.19,10.48
2025-04-03 10:15:00,9,996452.68,374.19,999820.435,8.325
2025-04-03 10:30:00,0,999818.94,373.05,999818.94,-0.0
2025-04-03 11:30:00,1,999444.93,374.64,999819.57,0.63
2025-04-03 12:00:00,2,999070.02,375.61,999821.23,1.39
2025-04-03 12:15:00,3,998694.02,376.42,999823.28,1.26
2025-04-03 12:30:00,4,998318.08,376.65,999824.68,2.84
2025-04-03 12:45:00,5,997941.9,376.73,999825.525,2.725
2025-04-03 13:00:00,6,997565.49,376.92,999826.98,3.03
2025-04-03 13:15:00,7,997189.75,376.5,999825.215,5.285
2025-04-03 13:30:00,8,996814.21,376.21,999823.89,5.36
2025-04-03 13:45:00,9,996438.23,376.51,999826.865,4.815
2025-04-03 14:00:00,0,999830.05,376.32,999830.05,-0.0
2025-04-03 14:15:00,1,999455.0,375.52,999830.525,0.475
2025-04-03 14:30:00,2,999079.97,375.57,999831.11,1.08
2025-04-03 14:45:00,3,998704.79,375.47,999831.185,0.855
2025-04-03 15:00:00,4,998329.62,375.55,999831.8,1.5
2025-04-03 15:15:00,5,997955.8,374.67,999829.15,4.25
2025-04-03 15:30:00,6,997581.03,375.26,999832.59,2.94
2025-04-04 09:30:00,7,997217.03,365.44,999775.11,10.08
2025-04-04 10:00:00,8,996846.05,372.69,999827.53,13.64
2025-04-04 10:15:00,9,996475.64,372.13,999824.855,15.525
2025-04-04 10:45:00,0,999792.83,366.94,999792.83,-0.0
2025-04-08 12:00:00,1,999427.18,366.25,999793.435,0.605
